stateId,state_name,residential,commercial,electric_power,industrial,transportation,total,pop_2018
CA,California,24.790427,19.635641,33.740812,67.901332,210.573226,356.641438,39437463
TX,Texas,13.416675,14.940006,202.254196,231.653317,221.763902,684.028095,28624564
FL,Florida,1.356428,7.080331,100.871743,12.275818,121.651075,243.235395,21254926
NY,New York,36.32945,23.212327,24.511966,8.632237,83.257295,175.943275,19544098
PA,Pennsylvania,21.584538,12.195898,74.865907,50.715635,61.165593,220.52757,12809107
IL,Illinois,25.347551,15.037443,67.027018,34.198043,70.574633,212.184687,12724685
OH,Ohio,18.865047,12.426873,77.57218,38.989235,61.304549,209.157884,11680892
GA,Georgia,7.807707,4.815845,52.262541,13.314503,64.637346,142.837942,10519389
NC,North Carolina,5.529247,5.243505,48.359625,10.7163,54.899723,124.748399,10391358
MI,Michigan,21.013906,11.50061,58.925149,19.15173,53.534031,164.125427,9987286
NJ,New Jersey,15.781156,10.716174,17.366171,9.138727,52.401547,105.403775,8891730
VA,Virginia,6.602494,6.30037,30.629697,11.915894,52.328339,107.776794,8510920
WA,Washington,5.610025,4.748232,10.14094,11.316721,45.153378,76.969297,7526793
AZ,Arizona,2.24605,2.896218,46.808888,4.665753,37.244208,93.861118,7164228
MA,Massachusetts,13.282653,7.896221,7.677361,3.468024,32.237651,64.56191,6885720
TN,Tennessee,4.572055,4.288191,26.104677,15.077958,44.62665,94.669531,6778180
IN,Indiana,8.92994,5.970066,90.146954,44.479537,39.312767,188.839263,6698481
MO,Missouri,7.211754,4.925622,65.529577,8.503122,38.548468,124.718543,6125986
MD,Maryland,6.298299,5.625829,16.337139,3.022373,30.398283,61.681923,6042153
WI,Wisconsin,9.915814,6.652441,39.853641,14.524089,31.02328,101.969266,5809319
CO,Colorado,8.005302,4.171126,34.167901,13.511225,30.746967,90.602522,5697155
MN,Minnesota,9.876841,7.228508,26.712926,17.811242,33.544064,95.17358,5608762
SC,South Carolina,2.061574,2.289698,28.785874,7.395339,32.897506,73.42999,5091702
AL,Alabama,2.253351,2.353446,53.877053,21.966203,32.823505,113.273558,4891628
LA,Louisiana,2.158826,2.499535,33.940028,122.841904,37.870946,199.311239,4664450
KY,Kentucky,3.274671,2.878144,67.064566,13.65792,34.304859,121.180161,4464273
OR,Oregon,2.709226,2.423599,8.379189,4.688209,21.670164,39.870387,4183538
OK,Oklahoma,4.180157,3.265195,33.044548,24.933021,32.277068,97.699989,3943488
CT,Connecticut,7.453266,4.330905,8.053289,1.859607,15.883797,37.580864,3574561
UT,Utah,3.894859,2.775264,28.635996,7.012432,18.80531,61.123861,3155153
IA,Iowa,5.453208,4.275741,29.433301,23.107576,20.551445,82.821271,3149900
NV,Nevada,2.431686,2.406934,13.6969,3.827951,18.675305,41.038777,3030725
AR,Arkansas,2.131901,3.499834,36.95861,9.055052,19.460264,71.105661,3012161
MS,Mississippi,1.672427,1.685832,25.779016,11.57798,22.632996,63.34825,2982879
KS,Kansas,4.220485,2.644513,23.10472,13.386199,18.915567,62.271484,2912748
NM,New Mexico,2.165412,1.718005,18.337297,7.608921,15.523423,45.353057,2093754
NE,Nebraska,2.793776,2.341152,23.813536,9.313267,14.214709,52.476439,1925512
WV,West Virginia,1.786201,1.81728,61.237354,12.252509,12.932835,90.026179,1805953
ID,Idaho,1.793183,1.436416,1.285457,3.453001,11.001454,18.969511,1752074
NH,New Hampshire,3.006304,1.465534,2.055327,0.817962,6.916604,14.261731,1355064
ME,Maine,3.079033,1.740225,1.075716,1.618458,7.241797,14.75523,1340123
MT,Montana,1.702723,1.700638,15.146366,4.152071,8.114707,30.816505,1061818
RI,Rhode Island,2.290995,0.978825,3.17185,0.67584,3.988388,11.105897,1059338
DE,Delaware,1.032066,1.10925,2.55689,3.12017,5.480282,13.298658,966985
SD,South Dakota,1.150146,0.868323,2.878774,3.960387,6.738348,15.595978,879386
ND,North Dakota,1.175246,1.176811,30.313082,17.277447,9.130747,59.073333,760062
VT,Vermont,1.458009,0.906801,0.003802,0.459376,3.020802,5.84879,624802
WY,Wyoming,0.951404,0.960649,40.654116,13.223116,7.850883,63.640168,579054
